id,filename,articleType
jakob-owens-BmH09wAkJa8-unsplash,Backpacks/jakob-owens-BmH09wAkJa8-unsplash.jpg,Backpacks
nick-linnen-VbJRsn2yb34-unsplash,Backpacks/nick-linnen-VbJRsn2yb34-unsplash.jpg,Backpacks
sindre-aalberg-q1Wd5MJvcKo-unsplash,Backpacks/sindre-aalberg-q1Wd5MJvcKo-unsplash.jpg,Backpacks
sun-lingyan-_H0fjILH5Vw-unsplash,Backpacks/sun-lingyan-_H0fjILH5Vw-unsplash.jpg,Backpacks
wiser-by-the-mile-SwWCo1k92M4-unsplash,Backpacks/wiser-by-the-mile-SwWCo1k92M4-unsplash.jpg,Backpacks
agung-hendri-sJGlVPtFIJ4-unsplash,Casual Shoes/agung-hendri-sJGlVPtFIJ4-unsplash.jpg,Casual Shoes
mojtaba-fahiminia-t4g1gctAaKk-unsplash,Casual Shoes/mojtaba-fahiminia-t4g1gctAaKk-unsplash.jpg,Casual Shoes
rauf-alvi-PiTfMhz1HiI-unsplash,Casual Shoes/rauf-alvi-PiTfMhz1HiI-unsplash.jpg,Casual Shoes
taylor-smith-mpHiSZS2-Yo-unsplash,Casual Shoes/taylor-smith-mpHiSZS2-Yo-unsplash.jpg,Casual Shoes
trendest-studio-XZ3EmAIWuz0-unsplash,Casual Shoes/trendest-studio-XZ3EmAIWuz0-unsplash.jpg,Casual Shoes
anna-logacheva-d00FZ5Yfhxc-unsplash,Dresses/anna-logacheva-d00FZ5Yfhxc-unsplash.jpg,Dresses
karen-willis-holmes-McLuTG2t4UQ-unsplash,Dresses/karen-willis-holmes-McLuTG2t4UQ-unsplash.jpg,Dresses
muhammad-nadir-cHLW0E2PrAc-unsplash,Dresses/muhammad-nadir-cHLW0E2PrAc-unsplash.jpg,Dresses
oleg-ivanov-sg_gRhbYXhc-unsplash,Dresses/oleg-ivanov-sg_gRhbYXhc-unsplash.jpg,Dresses
sanskrutihomes-cRpcTf0VfuE-unsplash,Dresses/sanskrutihomes-cRpcTf0VfuE-unsplash.jpg,Dresses
arturo-yair-ochoa-pineda-4NPkEaVkXWE-unsplash,Formal Shoes/arturo-yair-ochoa-pineda-4NPkEaVkXWE-unsplash.jpg,Formal Shoes
ayrus-hill-FkNIKhdnnjQ-unsplash,Formal Shoes/ayrus-hill-FkNIKhdnnjQ-unsplash.jpg,Formal Shoes
davinder-singh-2nST4hbvTkc-unsplash,Formal Shoes/davinder-singh-2nST4hbvTkc-unsplash.jpg,Formal Shoes
jia-ye-erHlzWCN6zQ-unsplash,Formal Shoes/jia-ye-erHlzWCN6zQ-unsplash.jpg,Formal Shoes
noah-smith-LkuH3Txi_gs-unsplash,Formal Shoes/noah-smith-LkuH3Txi_gs-unsplash.jpg,Formal Shoes
arno-senoner-oCXVxwTFwqE-unsplash,Handbags/arno-senoner-oCXVxwTFwqE-unsplash.jpg,Handbags
arno-senoner-ZT16YkAYueo-unsplash,Handbags/arno-senoner-ZT16YkAYueo-unsplash.jpg,Handbags
background-foto-pixell-design-wGTO-1EuXYY-unsplash,Handbags/background-foto-pixell-design-wGTO-1EuXYY-unsplash.jpg,Handbags
james-ree-ZmeFtu11Hpc-unsplash,Handbags/james-ree-ZmeFtu11Hpc-unsplash.jpg,Handbags
laura-chouette-CtOA9wbFAdQ-unsplash,Handbags/laura-chouette-CtOA9wbFAdQ-unsplash.jpg,Handbags
hans-QJfXnkKrtlo-unsplash,Jeans/hans-QJfXnkKrtlo-unsplash.jpg,Jeans
jason-leung-EtOMMg1nSR8-unsplash,Jeans/jason-leung-EtOMMg1nSR8-unsplash.jpg,Jeans
matthew-moloney-YeGao3uk8kI-unsplash,Jeans/matthew-moloney-YeGao3uk8kI-unsplash.jpg,Jeans
tuananh-blue-9yoXrG6Er_g-unsplash,Jeans/tuananh-blue-9yoXrG6Er_g-unsplash.jpg,Jeans
tuananh-blue-rJQCoHb8XxA-unsplash,Jeans/tuananh-blue-rJQCoHb8XxA-unsplash.jpg,Jeans
benjamin-r-WdhmRPvMn7A-unsplash,Shirts/benjamin-r-WdhmRPvMn7A-unsplash.jpg,Shirts
mohamad-khosravi-OSS7Gd9whn8-unsplash,Shirts/mohamad-khosravi-OSS7Gd9whn8-unsplash.jpg,Shirts
pixel-studios-teDbtpEoeJA-unsplash,Shirts/pixel-studios-teDbtpEoeJA-unsplash.jpg,Shirts
robert-richman-vcTKFYNZop4-unsplash,Shirts/robert-richman-vcTKFYNZop4-unsplash.jpg,Shirts
uji-kanggo-gumilang-G5huvwgdYhc-unsplash,Shirts/uji-kanggo-gumilang-G5huvwgdYhc-unsplash.jpg,Shirts
antonio-araujo-ViYFhC5McZQ-unsplash,Shorts/antonio-araujo-ViYFhC5McZQ-unsplash.jpg,Shorts
engin-akyurt-Hd4nlxLgIbA-unsplash,Shorts/engin-akyurt-Hd4nlxLgIbA-unsplash.jpg,Shorts
laura-chouette-zU8hYK_yWLI-unsplash,Shorts/laura-chouette-zU8hYK_yWLI-unsplash.jpg,Shorts
tamara-bellis-BGmVdP6thkU-unsplash,Shorts/tamara-bellis-BGmVdP6thkU-unsplash.jpg,Shorts
tamara-bellis-jYdRUFgba8k-unsplash,Shorts/tamara-bellis-jYdRUFgba8k-unsplash.jpg,Shorts
daniel-storek-JM-qKEd1GMI-unsplash,Sports Shoes/daniel-storek-JM-qKEd1GMI-unsplash.jpg,Sports Shoes
imani-bahati-LxVxPA1LOVM-unsplash,Sports Shoes/imani-bahati-LxVxPA1LOVM-unsplash.jpg,Sports Shoes
luis-felipe-lins-LG88A2XgIXY-unsplash,Sports Shoes/luis-felipe-lins-LG88A2XgIXY-unsplash.jpg,Sports Shoes
mana-akbarzadegan-kLnlaZJ4SMA-unsplash,Sports Shoes/mana-akbarzadegan-kLnlaZJ4SMA-unsplash.jpg,Sports Shoes
usama-akram-kP6knT7tjn4-unsplash,Sports Shoes/usama-akram-kP6knT7tjn4-unsplash.jpg,Sports Shoes
annie-williams-FlP6C5pkMKs-unsplash,Sunglasses/annie-williams-FlP6C5pkMKs-unsplash.jpg,Sunglasses
charlesdeluvio-1-nx1QR5dTE-unsplash,Sunglasses/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Sunglasses
daniel-schludi-7J-ro9TbEp0-unsplash,Sunglasses/daniel-schludi-7J-ro9TbEp0-unsplash.jpg,Sunglasses
lucas-george-wendt-3xtCeUhqZWE-unsplash,Sunglasses/lucas-george-wendt-3xtCeUhqZWE-unsplash.jpg,Sunglasses
sebastian-coman-travel-dtOTQYmTEs0-unsplash,Sunglasses/sebastian-coman-travel-dtOTQYmTEs0-unsplash.jpg,Sunglasses
ace-maxwell-FT2QbOnmcMU-unsplash,Tshirts/ace-maxwell-FT2QbOnmcMU-unsplash.jpg,Tshirts
dj-tears-plk-AnfgcXYL6z8-unsplash,Tshirts/dj-tears-plk-AnfgcXYL6z8-unsplash.jpg,Tshirts
ivett-m-ZZC_3gb7Qtc-unsplash,Tshirts/ivett-m-ZZC_3gb7Qtc-unsplash.jpg,Tshirts
mediamodifier-7cERndkOyDw-unsplash,Tshirts/mediamodifier-7cERndkOyDw-unsplash.jpg,Tshirts
sadam-anwar-XYZYZXo531w-unsplash,Tshirts/sadam-anwar-XYZYZXo531w-unsplash.jpg,Tshirts
fabian-heimann-4R_WEmhx8og-unsplash,Watches/fabian-heimann-4R_WEmhx8og-unsplash.jpg,Watches
john-torcasio-TJrkkhdB39E-unsplash,Watches/john-torcasio-TJrkkhdB39E-unsplash.jpg,Watches
pat-taylor-12V36G17IbQ-unsplash,Watches/pat-taylor-12V36G17IbQ-unsplash.jpg,Watches
ryan-waring-p2WUEFGrAdA-unsplash,Watches/ryan-waring-p2WUEFGrAdA-unsplash.jpg,Watches
yash-parashar-LWPPpkn6NEQ-unsplash,Watches/yash-parashar-LWPPpkn6NEQ-unsplash.jpg,Watches
