candidate,family,regime,config,epochs,macro_f1,accuracy,weighted_f1,arm
hog_svm_0,hog_svm,,{'C': 0.003},,0.5975940219545287,0.7616845582163502,0.7678720145879252,
hog_svm_1,hog_svm,,{'C': 0.01},,0.6329140289827427,0.7886044591246903,0.7933649369663126,
hog_svm_2,hog_svm,,{'C': 0.03},,0.672301202789038,0.8014863748967795,0.8058772398899199,hog_svm
hog_svm_3,hog_svm,,{'C': 0.1},,0.6634131358244172,0.8087530966143683,0.8116363425949509,
hog_svm_4,hog_svm,,{'C': 0.3},,0.6489640905594944,0.8089182493806771,0.8117954900559629,
hog_svm_5,hog_svm,,{'C': 1.0},,0.6105711949022444,0.7993393889347646,0.8019137709404869,
cnn_reweight_search_0,cnn,reweight,"{'lr': 0.0001, 'weight_decay': 0.0001}",23.0,0.31082037865168294,0.44178364987613544,0.4456348397679925,
cnn_reweight_search_1,cnn,reweight,"{'lr': 0.0001, 'weight_decay': 0.001}",22.0,0.3117726887245702,0.4495458298926507,0.45517850566112233,
cnn_reweight_search_2,cnn,reweight,"{'lr': 0.0003, 'weight_decay': 0.0001}",24.0,0.40488020189994367,0.5359207266721717,0.5604313966128915,
cnn_reweight_search_3,cnn,reweight,"{'lr': 0.0003, 'weight_decay': 0.001}",24.0,0.40246096397871545,0.5454995871180842,0.5698855946647822,
cnn_reweight_search_4,cnn,reweight,"{'lr': 0.001, 'weight_decay': 0.0001}",22.0,0.37579133138732496,0.48554913294797686,0.5205987728731125,
cnn_reweight_search_5,cnn,reweight,"{'lr': 0.001, 'weight_decay': 0.001}",23.0,0.38299398155686537,0.5017341040462427,0.5310222913896224,
cnn_resample_search_0,cnn,resample,"{'lr': 0.0001, 'weight_decay': 0.0001}",21.0,0.5736943552269481,0.6538398018166804,0.6740983792982408,
cnn_resample_search_1,cnn,resample,"{'lr': 0.0001, 'weight_decay': 0.001}",21.0,0.5730599052722658,0.6541701073492981,0.6742426002036963,
cnn_resample_search_2,cnn,resample,"{'lr': 0.0003, 'weight_decay': 0.0001}",24.0,0.6791455080768537,0.7805119735755573,0.7893184949466745,
cnn_resample_search_3,cnn,resample,"{'lr': 0.0003, 'weight_decay': 0.001}",20.0,0.6621899351982679,0.7615194054500413,0.7753155505939129,
cnn_resample_search_4,cnn,resample,"{'lr': 0.001, 'weight_decay': 0.0001}",23.0,0.7306510875781398,0.8242774566473988,0.8301382107221199,
cnn_resample_search_5,cnn,resample,"{'lr': 0.001, 'weight_decay': 0.001}",23.0,0.7191197939952799,0.8224607762180016,0.8286159384994969,
resnet_reweight_search_0,resnet,reweight,"{'lr': 0.0001, 'weight_decay': 0.0001}",23.0,0.40610509497026753,0.5009083402146985,0.5393849067357063,
resnet_reweight_search_1,resnet,reweight,"{'lr': 0.0001, 'weight_decay': 0.001}",23.0,0.39820272455439054,0.47398843930635837,0.5165170272751215,
resnet_reweight_search_2,resnet,reweight,"{'lr': 0.0003, 'weight_decay': 0.0001}",22.0,0.3831463800541767,0.48075970272502067,0.5201751469390076,
resnet_reweight_search_3,resnet,reweight,"{'lr': 0.0003, 'weight_decay': 0.001}",23.0,0.37657555733664466,0.49099917423616846,0.5279219795073405,
resnet_reweight_search_4,resnet,reweight,"{'lr': 0.001, 'weight_decay': 0.0001}",24.0,0.2596165958883769,0.35772089182493805,0.3883542003425024,
resnet_reweight_search_5,resnet,reweight,"{'lr': 0.001, 'weight_decay': 0.001}",23.0,0.26386870798654943,0.3805119735755574,0.40996647715631346,
resnet_resample_search_0,resnet,resample,"{'lr': 0.0001, 'weight_decay': 0.0001}",23.0,0.698223045265017,0.8128819157720892,0.8172936098591927,
resnet_resample_search_1,resnet,resample,"{'lr': 0.0001, 'weight_decay': 0.001}",22.0,0.7009669235427817,0.8104046242774566,0.8141836763040466,
resnet_resample_search_2,resnet,resample,"{'lr': 0.0003, 'weight_decay': 0.0001}",22.0,0.744968921602877,0.8374896779521057,0.8399412972497763,
resnet_resample_search_3,resnet,resample,"{'lr': 0.0003, 'weight_decay': 0.001}",19.0,0.7554220430847332,0.8264244426094137,0.8330919526508985,
resnet_resample_search_4,resnet,resample,"{'lr': 0.001, 'weight_decay': 0.0001}",23.0,0.7730488764774229,0.8531791907514451,0.8561160727770549,
resnet_resample_search_5,resnet,resample,"{'lr': 0.001, 'weight_decay': 0.001}",23.0,0.778474155407226,0.849215524360033,0.85343191695883,
