model,protocol,backbone,pretrained,submittable,is_fallback,macro_f1,accuracy,weighted_f1,head (>=1000),body (100-999),tail (10-99),rare (<10),vs best submittable
siglip2_probe,linear probe,google/siglip2-base-patch16-224,True,False,False,0.8219109724945514,0.8978594080338267,0.9010466370623685,0.9063961842788607,0.8630085241154248,0.848883809813071,0.6634920634920635,0.0584
siglip2_finetune,fine-tuned,google/siglip2-base-patch16-224,True,False,False,0.8165547697224307,0.889931289640592,0.892908288328828,0.8956635796259511,0.8601195180780302,0.817368264537282,0.7160997732426303,0.053
convnext_probe,linear probe,facebook/convnext-base-224-22k,True,False,False,0.800015831271492,0.8857029598308668,0.8879215894632158,0.8918986568044138,0.8422758746675515,0.8084329511402698,0.6793650793650793,0.0365
convnext_finetune,fine-tuned,facebook/convnext-base-224-22k,True,False,False,0.7927461184708542,0.8800211416490487,0.884462122202519,0.8867368265191762,0.8393277569072519,0.8244222334084581,0.6113378684807257,0.0292
resnet_resample,from scratch,,False,True,False,0.7635366640980263,0.8760570824524313,0.8770280965934566,0.8870194458649883,0.8324052692033586,0.7734063250031697,0.5857142857142856,0.0
cnn_resample,from scratch,,False,True,False,0.7378226194344965,0.8521405919661733,0.8558033710732286,0.8641947613965424,0.8086845023146529,0.7554237806299738,0.5380952380952381,-0.0257
hog_svm_offset,from scratch,,False,True,False,0.6345273267713217,0.7991543340380549,0.8018044950248167,0.810307686362937,0.7388498999814215,0.6089816000452921,0.4620181405895692,-0.129
hog_svm,from scratch,,False,True,False,0.6345273267713217,0.7991543340380549,0.8018044950248167,0.810307686362937,0.7388498999814215,0.6089816000452921,0.4620181405895692,-0.129
resnet_reweight,from scratch,,False,True,False,0.5404597743645911,0.6553911205073996,0.6795951269852407,0.6727203496392486,0.6352597371050346,0.5114228461266761,0.40747354497354504,-0.2231
cnn_reweight,from scratch,,False,True,False,0.5339355742839914,0.653276955602537,0.6775314178557268,0.6800381381456909,0.6279946526093092,0.48901417987213386,0.4331478045763761,-0.2296
