tau,macro_f1,accuracy,weighted_f1
0.0,0.672301202789038,0.8014863748967795,0.8058772398899199
0.01,0.6673551153045549,0.7980181668042939,0.8037642525896411
0.02,0.6618486357533627,0.7947151114781172,0.8016874307960694
0.03,0.6531655896932055,0.7895953757225433,0.7986223610404857
0.04,0.6250846601211136,0.7838150289017342,0.7953763590500023
0.05,0.6134095162580474,0.776878612716763,0.7917534725075711
0.06,0.6044047707207783,0.7681255161023948,0.7865379622823704
0.07,0.5938770635126271,0.7575557390586293,0.7809214501046239
0.08,0.5868144768096957,0.7458298926507019,0.7751052094495835
0.09,0.581354407893418,0.7327828241123039,0.769062301325064
0.1,0.5683432117236572,0.714616019818332,0.7573497579855759
0.15,0.5606662080641064,0.5955408753096615,0.6721179643687555
0.2,0.5387485846081694,0.4508670520231214,0.5337013342415013
0.25,0.5106982533647626,0.3261767134599505,0.3934643488818129
0.3,0.4746978371118122,0.23071841453344344,0.28784901206185404
0.35,0.4260304890564415,0.14054500412881915,0.18748277413211734
0.4,0.3663949613465383,0.07828241123038811,0.10631025272831049
0.45,0.30568091588392066,0.04178364987613543,0.056712689196172464
0.5,0.2696326909085492,0.02328654004954583,0.03058865300008025
0.55,0.2466284634008902,0.014368290668868704,0.018027108294055988
0.6,0.22369849638102304,0.010074318744838976,0.01252602756929041
0.65,0.1974482016934847,0.007762180016515277,0.009073404804205796
0.7,0.1774299599771298,0.005945499587118084,0.006852088181567951
0.75,0.13712938005390835,0.004128819157720892,0.004524792575989933
0.8,0.11949685534591195,0.003137902559867878,0.0031929534819708227
0.85,0.11949685534591195,0.003137902559867878,0.0031929534819708227
0.9,0.10377358490566038,0.002642444260941371,0.0028075970272502066
0.95,0.09748427672955974,0.002477291494632535,0.0025873933388384255
1.0,0.09748427672955974,0.002477291494632535,0.0025873933388384255
