id,articleType,review_status,proposed_action,reason,review_method
900000,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900001,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900002,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900003,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900004,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900005,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900006,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900007,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900008,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900009,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900010,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900011,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900012,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900013,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900014,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
900015,Eyeshadow,no_obvious_issue,candidate_for_training,No obvious target or crop problem in contact-sheet screening; label not independently authenticated.,full_contact_sheet_screen
