path,matches_test,matches_train
D:\g2\Dataset\ExternalCosmetics\images\900000.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900001.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900002.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900003.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900004.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900005.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900006.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900007.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900008.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900009.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900010.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900011.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900012.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900013.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900014.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900015.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900016.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900017.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900018.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900019.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900020.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900021.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900022.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900023.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900024.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900025.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900026.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900027.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900028.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900029.jpg,False,False
