id,articleType,review_status,proposed_action,reason,review_method
910000,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910001,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910002,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910003,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910004,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910005,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910006,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910007,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910008,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910009,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910010,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910011,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910012,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910013,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910014,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910015,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910016,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910017,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910018,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910019,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
910020,Compact,no_obvious_issue,candidate_for_training,No obvious issue in the full contact-sheet screen; label not independently authenticated.,full_contact_sheet_screen
