id,gender,masterCategory,subCategory,articleType,season,usage,source,label_source
910000,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910001,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910002,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910003,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910004,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910005,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910006,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910007,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910008,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910009,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910010,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910011,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910012,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910013,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910014,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910015,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910016,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910017,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910018,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910019,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910020,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910021,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910022,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910023,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910024,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910025,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910026,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910027,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910028,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910029,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910030,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910031,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910032,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910033,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910034,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910035,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910036,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910037,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910038,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910039,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910040,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910041,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910042,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910043,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910044,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910045,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910046,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910047,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910048,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910049,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910050,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910051,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910052,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
910053,Women,Personal Care,Makeup,Compact,Spring,Casual,external_cosmetics2_v1,gender+season+usage propagated per articleType from provided train
