target,class,train_n,val_n,precision,recall,f1
gender,Boys,496,93,0.5748,0.7849,0.6636
gender,Girls,417,66,0.5488,0.6818,0.6081
gender,Men,17459,3090,0.9181,0.9071,0.9126
gender,Unisex,1750,305,0.4175,0.7213,0.5288
gender,Women,11962,2107,0.9434,0.8382,0.8877
usage,Casual,24662,4306,0.9339,0.8957,0.9144
usage,Ethnic,2182,383,0.8717,0.8695,0.8706
usage,Formal,1861,343,0.7208,0.828,0.7707
usage,Home,1,0,0.0,0.0,0.0
usage,Party,10,3,0.0,0.0,0.0
usage,Smart Casual,46,9,0.3333,0.1111,0.1667
usage,Sports,3300,614,0.5984,0.7231,0.6549
usage,Travel,22,3,0.25,0.6667,0.3636
