config,seed,lr,dropout,bs,epochs,gender macroF1,gender acc,usage macroF1,usage acc,mean macroF1,minutes
lr=0.0003,42,0.0003,0.2,256,20,0.6997,0.8657,0.4155,0.8643,0.5576,10.2
lr=0.0003,43,0.0003,0.2,256,20,0.6931,0.8707,0.4465,0.8601,0.5698,10.5
lr=0.003,42,0.003,0.2,256,20,0.7586,0.8829,0.4592,0.8758,0.6089,10.0
lr=0.003,43,0.003,0.2,256,20,0.7391,0.8827,0.4418,0.8688,0.5905,10.1
dropout=0.0,42,0.001,0.0,256,20,0.728,0.8816,0.4733,0.8781,0.6007,10.2
dropout=0.0,43,0.001,0.0,256,20,0.7547,0.8839,0.4145,0.8726,0.5846,9.9
dropout=0.4,42,0.001,0.4,256,20,0.7136,0.8756,0.4558,0.8728,0.5847,10.0
dropout=0.4,43,0.001,0.4,256,20,0.7411,0.8793,0.4288,0.8666,0.5849,10.3
epochs=30,42,0.001,0.2,256,30,0.7555,0.8903,0.434,0.8786,0.5948,15.5
epochs=30,43,0.001,0.2,256,30,0.7464,0.8884,0.4763,0.868,0.6113,15.5
