arm,repeat,class,val_n,precision,recall,f1
C_weighted,51,Boys,93,0.68,0.5484,0.6071
C_weighted,51,Girls,62,0.4727,0.4194,0.4444
C_weighted,51,Men,3242,0.9088,0.8242,0.8644
C_weighted,51,Unisex,161,0.1702,0.4037,0.2394
C_weighted,51,Women,3991,0.8811,0.9045,0.8927
D_weighted,51,Boys,93,0.6351,0.5054,0.5629
D_weighted,51,Girls,62,0.5778,0.4194,0.486
D_weighted,51,Men,3242,0.9097,0.83,0.8681
D_weighted,51,Unisex,161,0.1753,0.3975,0.2433
D_weighted,51,Women,3991,0.8856,0.9113,0.8982
C_weighted,52,Boys,93,0.6757,0.5376,0.5988
C_weighted,52,Girls,62,0.5319,0.4032,0.4587
C_weighted,52,Men,3242,0.8935,0.8408,0.8664
C_weighted,52,Unisex,161,0.1635,0.3789,0.2285
C_weighted,52,Women,3991,0.8891,0.892,0.8906
D_weighted,52,Boys,93,0.7778,0.5269,0.6282
D_weighted,52,Girls,62,0.6667,0.4516,0.5385
D_weighted,52,Men,3242,0.8866,0.8442,0.8649
D_weighted,52,Unisex,161,0.1869,0.3913,0.253
D_weighted,52,Women,3991,0.8866,0.893,0.8898
C_weighted,53,Boys,93,0.6714,0.5054,0.5767
C_weighted,53,Girls,62,0.4286,0.3871,0.4068
C_weighted,53,Men,3242,0.9053,0.8137,0.8571
C_weighted,53,Unisex,161,0.1723,0.3789,0.2369
C_weighted,53,Women,3991,0.8732,0.909,0.8907
D_weighted,53,Boys,93,0.5783,0.5161,0.5455
D_weighted,53,Girls,62,0.4255,0.3226,0.367
D_weighted,53,Men,3242,0.9131,0.8199,0.864
D_weighted,53,Unisex,161,0.1818,0.4224,0.2542
D_weighted,53,Women,3991,0.8781,0.9095,0.8935
