model,target,split,macro_f1,macro_f1_in_val,n_classes,n_in_val,accuracy,weighted_f1,tau
C shared body,gender,forward split,0.5813,0.5813,5,5,0.8651,0.8648,
C shared body,gender,independent eval,0.122,0.122,5,5,0.249,0.2034,
C shared body,gender,per-target split,0.668,0.668,5,5,0.8889,0.8836,
C + logit adj + TTA,gender,shared val,0.7462,0.7462,5,5,0.8983,0.8988,
C + logit adj,gender,shared val,0.7361,0.7361,5,5,0.8944,0.895,0.25
A two models,gender,shared val,0.7347,0.7347,5,5,0.8908,0.8927,
D articleType-pretrained,gender,shared val,0.7315,0.7315,5,5,0.9,0.8979,
C shared body,gender,shared val,0.7284,0.7284,5,5,0.8981,0.8953,
C unweighted,gender,shared val,0.7284,0.7284,5,5,0.8981,0.8953,
C without external,gender,shared val,0.7284,0.7284,5,5,0.8981,0.8953,
C shared body,gender,shared val,0.7284,0.7284,5,5,0.8981,0.8953,
C from scratch,gender,shared val,0.7284,0.7284,5,5,0.8981,0.8953,
C weighted,gender,shared val,0.723,0.723,5,5,0.8765,0.8794,
B joint label,gender,shared val,0.7205,0.7205,5,5,0.8889,0.8898,
C with external,gender,shared val,0.7113,0.7113,5,5,0.8968,0.8927,
1-NN pixels,gender,shared val,0.5335,0.5335,5,5,0.7707,0.7718,
majority,gender,shared val,0.1412,0.1412,5,5,0.5458,0.3855,
C shared body,usage,forward split,0.3583,0.4778,8,6,0.8939,0.8924,
C shared body,usage,independent eval,0.1274,0.1274,7,7,0.6054,0.4925,
C shared body,usage,per-target split,0.4041,0.4618,8,7,0.8965,0.8905,
C weighted,usage,shared val,0.4853,0.5546,8,7,0.8756,0.8767,
C + logit adj + TTA,usage,shared val,0.4126,0.4716,8,7,0.8974,0.8937,
C + logit adj,usage,shared val,0.4109,0.4697,8,7,0.8954,0.8919,0.25
D articleType-pretrained,usage,shared val,0.4079,0.4662,8,7,0.8937,0.8892,
A two models,usage,shared val,0.4076,0.4659,8,7,0.8917,0.8882,
C with external,usage,shared val,0.4071,0.4652,8,7,0.8963,0.8905,
B joint label,usage,shared val,0.4047,0.4625,8,7,0.8914,0.8859,
C shared body,usage,shared val,0.4007,0.4579,8,7,0.8915,0.8842,
C unweighted,usage,shared val,0.4007,0.4579,8,7,0.8915,0.8842,
C without external,usage,shared val,0.4007,0.4579,8,7,0.8915,0.8842,
C shared body,usage,shared val,0.4007,0.4579,8,7,0.8915,0.8842,
C from scratch,usage,shared val,0.4007,0.4579,8,7,0.8915,0.8842,
1-NN pixels,usage,shared val,0.3265,0.3732,8,7,0.7765,0.7788,
majority,usage,shared val,0.108,0.1234,8,7,0.7606,0.6572,
