articleType,supplied_training,external_training,combined_training,validation
Accessory Gift Set,85,0,85,21
Baby Dolls,2,0,2,0
Backpacks,568,0,568,142
Bangle,46,0,46,12
Basketballs,10,0,10,3
Belts,635,0,635,159
Blazers,6,0,6,2
Body Wash and Scrub,1,0,1,0
Booties,10,0,10,2
Boxers,31,0,31,8
Bra,238,0,238,59
Bracelet,41,0,41,10
Briefs,533,0,533,133
Camisoles,12,0,12,3
Capris,109,0,109,27
Caps,218,0,218,55
Casual Shoes,2146,0,2146,536
Churidar,24,0,24,6
Clothing Set,6,0,6,2
Clutches,178,0,178,45
Compact,3,0,3,1
Concealer,2,0,2,0
Cufflinks,35,0,35,9
Cushion Covers,1,0,1,0
Deodorant,234,0,234,59
Dresses,260,0,260,65
Duffel Bag,69,0,69,17
Dupatta,92,0,92,23
Earrings,194,0,194,49
Eyeshadow,4,397,401,1
Flats,334,0,334,84
Flip Flops,690,0,690,173
Footballs,6,0,6,2
Formal Shoes,487,0,487,122
Foundation and Primer,10,0,10,2
Fragrance Gift Set,44,0,44,11
Free Gifts,54,0,54,13
Gloves,16,0,16,4
Handbags,1150,0,1150,287
Hat,2,0,2,1
Headband,6,0,6,1
Heels,836,0,836,209
Highlighter and Blush,3,0,3,1
Innerwear Vests,194,0,194,48
Ipad,1,0,1,0
Jackets,180,0,180,45
Jeans,430,0,430,107
Jeggings,20,0,20,5
Jewellery Set,36,0,36,9
Jumpsuit,9,0,9,2
Kajal and Eyeliner,10,0,10,3
Key chain,2,0,2,0
Kurta Sets,60,0,60,15
Kurtas,1245,0,1245,311
Kurtis,162,0,162,41
Laptop Bag,63,0,63,16
Leggings,119,0,119,30
Lehenga Choli,2,0,2,0
Lip Gloss,5,0,5,1
Lip Liner,10,0,10,2
Lip Plumper,3,0,3,1
Lipstick,12,384,396,3
Lounge Pants,42,0,42,11
Lounge Shorts,27,0,27,7
Lounge Tshirts,1,0,1,0
Messenger Bag,34,0,34,9
Mobile Pouch,38,0,38,9
Mufflers,30,0,30,8
Nail Polish,15,377,392,4
Necklace and Chains,50,0,50,12
Nehru Jackets,4,0,4,1
Night suits,55,0,55,14
Nightdress,31,0,31,8
Patiala,22,0,22,5
Pendant,98,0,98,24
Perfume and Body Mist,443,0,443,110
Rain Jacket,2,0,2,0
Rain Trousers,2,0,2,0
Ring,69,0,69,17
Robe,2,0,2,0
Rompers,10,0,10,2
Rucksacks,9,0,9,2
Salwar,26,0,26,6
Salwar and Dupatta,6,0,6,1
Sandals,691,0,691,173
Sarees,122,0,122,31
Scarves,88,0,88,22
Shapewear,2,0,2,0
Shirts,2241,0,2241,560
Shoe Accessories,18,0,18,5
Shoe Laces,1,0,1,0
Shorts,383,0,383,96
Shrug,2,0,2,1
Skirts,82,0,82,21
Socks,490,0,490,123
Sports Sandals,50,0,50,13
Sports Shoes,1591,0,1591,398
Stockings,20,0,20,5
Stoles,72,0,72,18
Sunglasses,826,0,826,206
Suspenders,32,0,32,8
Sweaters,221,0,221,55
Sweatshirts,222,0,222,56
Swimwear,14,0,14,3
Tablet Sleeve,2,0,2,1
Ties,172,0,172,43
Ties and Cufflinks,1,0,1,0
Tights,7,0,7,2
Tops,1215,0,1215,304
Track Pants,236,0,236,59
Tracksuits,22,0,22,6
Travel Accessory,10,0,10,3
Trolley Bag,2,0,2,1
Trousers,409,0,409,102
Trunk,112,0,112,28
Tshirts,5267,0,5267,1317
Tunics,140,0,140,35
Umbrellas,5,0,5,1
Waist Pouch,14,0,14,3
Waistcoat,11,0,11,3
Wallets,662,0,662,165
Watches,1799,0,1799,450
Water Bottle,9,0,9,2
Wristbands,5,0,5,1
