id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filename,group_id,source,label_source,relative_path
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Sahara Team India Fanwear Round Neck Jersey,1163.jpg,00f9e2852e2727492ea7f7bb1cd751ba7c1b012dbd5d4de141d2b08b0bd73f89,supplied,supplied_manifest,datasets/train/images_train/1163.jpg
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,2015,Sports,Nike Men Blue T20 Indian Cricket Jersey,1164.jpg,b2943e771e61145743485c9f2a5227479f01fcdd669aecc1d0ad6fe393efdca8,supplied,supplied_manifest,datasets/train/images_train/1164.jpg
1525,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010,Casual,Puma Deck Navy Blue Backpack,1525.jpg,80080c8551dd98fe521a78b0969be4872ef8fe8d59608bf8fd9646df22a9da41,supplied,supplied_manifest,datasets/train/images_train/1525.jpg
1526,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Puma Big Cat Backpack Black,1526.jpg,82b23691f7b91d818d618d7ec1b2d533faaca5d8fd89216090c94b3d7cc0ff70,supplied,supplied_manifest,datasets/train/images_train/1526.jpg
1529,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Ferrari Tee,1529.jpg,380ab41c30b5ff5b3527d3c531c3acb55a99c7b1a999546bb3daa874f6f6100a,supplied,supplied_manifest,datasets/train/images_train/1529.jpg
1530,Men,Apparel,Topwear,Jackets,Red,Fall,2010,Sports,Puma Men Ferrari Track Jacket,1530.jpg,0a319ed72c6bb81954eebf2543927a9a553adadfd2dbdf306947d507d723e284,supplied,supplied_manifest,datasets/train/images_train/1530.jpg
1531,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Solid Round Neck T-Shirt,1531.jpg,d1675a8723b9cfbed2a0afe7e0a0e1ee94a09e2ac6ba5d0128d1ac0bbeb7d18c,supplied,supplied_manifest,datasets/train/images_train/1531.jpg
1532,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Leaping Cat T-shirt,1532.jpg,c8d4e272dad87ffe2095906be10175b3fcc55687d63bbb59e2dea2d3df97a7dd,supplied,supplied_manifest,datasets/train/images_train/1532.jpg
1534,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Puma Men Black Leaping Cat T-shirt,1534.jpg,a4ede023a214f9247cc665d4b3bb94ec27a2bff4d79117d31a9a131792268e35,supplied,supplied_manifest,datasets/train/images_train/1534.jpg
1535,Unisex,Accessories,Headwear,Caps,Black,Fall,2010,Sports,Puma Unisex Logo Cap,1535.jpg,d73279132d27771a2b60bb1c602bf7a441716b8566e2758e58a0b52ad5f979ab,supplied,supplied_manifest,datasets/train/images_train/1535.jpg
1536,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Puma Men Black Net Jersey,1536.jpg,d91c7e17c5fc501b2885a0aa4a936782c1d8875cfb79d6e7ec173da4fc1d9518,supplied,supplied_manifest,datasets/train/images_train/1536.jpg
1537,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Puma Men Red Net Jersey,1537.jpg,1f153e0f807e1b99226bea3328569bc711abf2ab76d31be345690ce68f637967,supplied,supplied_manifest,datasets/train/images_train/1537.jpg
1538,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men Ferrari Track Black T-shirt,1538.jpg,4f329d66409bb5233e48b34bd402a4e802b60659ad9bd931b6a2a6dfaa05cce5,supplied,supplied_manifest,datasets/train/images_train/1538.jpg
1539,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Ferrari Grey T-shirt,1539.jpg,29a6ff471a4e4d02fc44e5db26618cca96da36b2046134a9c814a92e9619a155,supplied,supplied_manifest,datasets/train/images_train/1539.jpg
