id,gender,masterCategory,subCategory,articleType,season,usage,source,label_source,cluster,relative_path
900001,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900001,notebooks/Task1/dataset1/images/900001.jpg
900004,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900004,notebooks/Task1/dataset1/images/900004.jpg
900005,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900005,notebooks/Task1/dataset1/images/900005.jpg
900006,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900006,notebooks/Task1/dataset1/images/900006.jpg
900009,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900009,notebooks/Task1/dataset1/images/900009.jpg
900010,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900010,notebooks/Task1/dataset1/images/900010.jpg
900011,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900011,notebooks/Task1/dataset1/images/900011.jpg
900013,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900013,notebooks/Task1/dataset1/images/900013.jpg
900014,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900014,notebooks/Task1/dataset1/images/900014.jpg
900015,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900015,notebooks/Task1/dataset1/images/900015.jpg
900016,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900016,notebooks/Task1/dataset1/images/900016.jpg
900017,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900017,notebooks/Task1/dataset1/images/900017.jpg
900018,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900018,notebooks/Task1/dataset1/images/900018.jpg
900021,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900021,notebooks/Task1/dataset1/images/900021.jpg
900022,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900022,notebooks/Task1/dataset1/images/900022.jpg
900023,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900023,notebooks/Task1/dataset1/images/900023.jpg
900028,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900028,notebooks/Task1/dataset1/images/900028.jpg
900031,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900031,notebooks/Task1/dataset1/images/900031.jpg
900032,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900032,notebooks/Task1/dataset1/images/900032.jpg
900034,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900034,notebooks/Task1/dataset1/images/900034.jpg
900035,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900035,notebooks/Task1/dataset1/images/900035.jpg
900036,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900036,notebooks/Task1/dataset1/images/900036.jpg
900039,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900039,notebooks/Task1/dataset1/images/900039.jpg
900041,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900041,notebooks/Task1/dataset1/images/900041.jpg
900042,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900042,notebooks/Task1/dataset1/images/900042.jpg
900043,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900043,notebooks/Task1/dataset1/images/900043.jpg
900048,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900048,notebooks/Task1/dataset1/images/900048.jpg
900049,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900049,notebooks/Task1/dataset1/images/900049.jpg
900052,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900052,notebooks/Task1/dataset1/images/900052.jpg
900057,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900057,notebooks/Task1/dataset1/images/900057.jpg
900059,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900059,notebooks/Task1/dataset1/images/900059.jpg
900063,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900063,notebooks/Task1/dataset1/images/900063.jpg
900065,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900065,notebooks/Task1/dataset1/images/900065.jpg
900066,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900066,notebooks/Task1/dataset1/images/900066.jpg
900069,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900069,notebooks/Task1/dataset1/images/900069.jpg
900071,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900071,notebooks/Task1/dataset1/images/900071.jpg
900074,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900074,notebooks/Task1/dataset1/images/900074.jpg
900076,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900076,notebooks/Task1/dataset1/images/900076.jpg
900078,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900078,notebooks/Task1/dataset1/images/900078.jpg
900079,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900079,notebooks/Task1/dataset1/images/900079.jpg
900081,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900081,notebooks/Task1/dataset1/images/900081.jpg
900085,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900085,notebooks/Task1/dataset1/images/900085.jpg
900087,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900087,notebooks/Task1/dataset1/images/900087.jpg
900090,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900090,notebooks/Task1/dataset1/images/900090.jpg
900093,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900093,notebooks/Task1/dataset1/images/900093.jpg
900094,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900094,notebooks/Task1/dataset1/images/900094.jpg
900097,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900097,notebooks/Task1/dataset1/images/900097.jpg
900099,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900099,notebooks/Task1/dataset1/images/900099.jpg
900102,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900102,notebooks/Task1/dataset1/images/900102.jpg
900103,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900103,notebooks/Task1/dataset1/images/900103.jpg
900105,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900105,notebooks/Task1/dataset1/images/900105.jpg
900106,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900106,notebooks/Task1/dataset1/images/900106.jpg
900109,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900109,notebooks/Task1/dataset1/images/900109.jpg
900110,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900110,notebooks/Task1/dataset1/images/900110.jpg
900111,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900111,notebooks/Task1/dataset1/images/900111.jpg
900112,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900112,notebooks/Task1/dataset1/images/900112.jpg
900113,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900113,notebooks/Task1/dataset1/images/900113.jpg
900114,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900114,notebooks/Task1/dataset1/images/900114.jpg
900116,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900116,notebooks/Task1/dataset1/images/900116.jpg
900117,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900117,notebooks/Task1/dataset1/images/900117.jpg
900121,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900121,notebooks/Task1/dataset1/images/900121.jpg
900122,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900122,notebooks/Task1/dataset1/images/900122.jpg
900123,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900123,notebooks/Task1/dataset1/images/900123.jpg
900125,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900125,notebooks/Task1/dataset1/images/900125.jpg
900128,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900128,notebooks/Task1/dataset1/images/900128.jpg
900129,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900129,notebooks/Task1/dataset1/images/900129.jpg
900130,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900130,notebooks/Task1/dataset1/images/900130.jpg
900136,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900136,notebooks/Task1/dataset1/images/900136.jpg
900137,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900137,notebooks/Task1/dataset1/images/900137.jpg
900139,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900139,notebooks/Task1/dataset1/images/900139.jpg
900141,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900141,notebooks/Task1/dataset1/images/900141.jpg
900142,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900142,notebooks/Task1/dataset1/images/900142.jpg
900153,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900153,notebooks/Task1/dataset1/images/900153.jpg
900155,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900155,notebooks/Task1/dataset1/images/900155.jpg
900157,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900157,notebooks/Task1/dataset1/images/900157.jpg
900160,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900160,notebooks/Task1/dataset1/images/900160.jpg
900163,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900163,notebooks/Task1/dataset1/images/900163.jpg
900167,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900167,notebooks/Task1/dataset1/images/900167.jpg
900170,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900170,notebooks/Task1/dataset1/images/900170.jpg
900175,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900175,notebooks/Task1/dataset1/images/900175.jpg
900177,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900177,notebooks/Task1/dataset1/images/900177.jpg
900183,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900183,notebooks/Task1/dataset1/images/900183.jpg
900188,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900188,notebooks/Task1/dataset1/images/900188.jpg
900189,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900189,notebooks/Task1/dataset1/images/900189.jpg
900190,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900190,notebooks/Task1/dataset1/images/900190.jpg
900191,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900191,notebooks/Task1/dataset1/images/900191.jpg
900195,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900195,notebooks/Task1/dataset1/images/900195.jpg
900196,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900196,notebooks/Task1/dataset1/images/900196.jpg
