id,gender,masterCategory,subCategory,articleType,season,usage,source,label_source,cluster,relative_path
900000,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900000,notebooks/Task1/dataset1/images/900000.jpg
900002,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900002,notebooks/Task1/dataset1/images/900002.jpg
900003,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900003,notebooks/Task1/dataset1/images/900003.jpg
900007,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900007,notebooks/Task1/dataset1/images/900007.jpg
900008,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900008,notebooks/Task1/dataset1/images/900008.jpg
900012,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900012,notebooks/Task1/dataset1/images/900012.jpg
900019,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900019,notebooks/Task1/dataset1/images/900019.jpg
900020,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900020,notebooks/Task1/dataset1/images/900020.jpg
900024,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900024,notebooks/Task1/dataset1/images/900024.jpg
900025,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900025,notebooks/Task1/dataset1/images/900025.jpg
900026,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900026,notebooks/Task1/dataset1/images/900026.jpg
900027,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900027,notebooks/Task1/dataset1/images/900027.jpg
900029,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900029,notebooks/Task1/dataset1/images/900029.jpg
900030,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900030,notebooks/Task1/dataset1/images/900030.jpg
900033,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900033,notebooks/Task1/dataset1/images/900033.jpg
900037,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900037,notebooks/Task1/dataset1/images/900037.jpg
900038,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900038,notebooks/Task1/dataset1/images/900038.jpg
900040,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900040,notebooks/Task1/dataset1/images/900040.jpg
900044,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900044,notebooks/Task1/dataset1/images/900044.jpg
900045,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900045,notebooks/Task1/dataset1/images/900045.jpg
900046,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900046,notebooks/Task1/dataset1/images/900046.jpg
900047,Women,Personal Care,Eyes,Eyeshadow,Spring,Casual,external_cosmetics_coco_v1,season+usage propagated per articleType from provided train,900047,notebooks/Task1/dataset1/images/900047.jpg
