source,run,arm,target,class,metric,value
model_comparison,C shared body forward split,C shared body,gender,,macro_f1,0.5848
model_comparison,C shared body forward split,C shared body,gender,,macro_f1_in_val,0.5848
model_comparison,C shared body forward split,C shared body,gender,,n_classes,5
model_comparison,C shared body forward split,C shared body,gender,,n_in_val,5
model_comparison,C shared body forward split,C shared body,gender,,accuracy,0.8678
model_comparison,C shared body forward split,C shared body,gender,,weighted_f1,0.8663
model_comparison,C shared body independent eval,C shared body,gender,,macro_f1,0.1292
model_comparison,C shared body independent eval,C shared body,gender,,macro_f1_in_val,0.1292
model_comparison,C shared body independent eval,C shared body,gender,,n_classes,5
model_comparison,C shared body independent eval,C shared body,gender,,n_in_val,5
model_comparison,C shared body independent eval,C shared body,gender,,accuracy,0.2605
model_comparison,C shared body independent eval,C shared body,gender,,weighted_f1,0.2205
model_comparison,C shared body per-target split,C shared body,gender,,macro_f1,0.6794
model_comparison,C shared body per-target split,C shared body,gender,,macro_f1_in_val,0.6794
model_comparison,C shared body per-target split,C shared body,gender,,n_classes,5
model_comparison,C shared body per-target split,C shared body,gender,,n_in_val,5
model_comparison,C shared body per-target split,C shared body,gender,,accuracy,0.882
model_comparison,C shared body per-target split,C shared body,gender,,weighted_f1,0.8818
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,gender,,macro_f1,0.746
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,gender,,macro_f1_in_val,0.746
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,gender,,n_classes,5
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,gender,,n_in_val,5
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,gender,,accuracy,0.903
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,gender,,weighted_f1,0.9026
model_comparison,A two models shared val,A two models,gender,,macro_f1,0.744
model_comparison,A two models shared val,A two models,gender,,macro_f1_in_val,0.744
model_comparison,A two models shared val,A two models,gender,,n_classes,5
model_comparison,A two models shared val,A two models,gender,,n_in_val,5
model_comparison,A two models shared val,A two models,gender,,accuracy,0.9071
model_comparison,A two models shared val,A two models,gender,,weighted_f1,0.904
model_comparison,C weighted shared val,C weighted,gender,,macro_f1,0.7365
model_comparison,C weighted shared val,C weighted,gender,,macro_f1_in_val,0.7365
model_comparison,C weighted shared val,C weighted,gender,,n_classes,5
model_comparison,C weighted shared val,C weighted,gender,,n_in_val,5
model_comparison,C weighted shared val,C weighted,gender,,accuracy,0.8829
model_comparison,C weighted shared val,C weighted,gender,,weighted_f1,0.8852
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,gender,,macro_f1,0.7359
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,gender,,macro_f1_in_val,0.7359
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,gender,,n_classes,5
