id,articleType,group_id
1525,Backpacks,80080c8551dd98fe521a78b0969be4872ef8fe8d59608bf8fd9646df22a9da41
1526,Backpacks,82b23691f7b91d818d618d7ec1b2d533faaca5d8fd89216090c94b3d7cc0ff70
1530,Jackets,0a319ed72c6bb81954eebf2543927a9a553adadfd2dbdf306947d507d723e284
1531,Tshirts,d1675a8723b9cfbed2a0afe7e0a0e1ee94a09e2ac6ba5d0128d1ac0bbeb7d18c
1534,Tshirts,a4ede023a214f9247cc665d4b3bb94ec27a2bff4d79117d31a9a131792268e35
1535,Caps,d73279132d27771a2b60bb1c602bf7a441716b8566e2758e58a0b52ad5f979ab
1537,Tshirts,1f153e0f807e1b99226bea3328569bc711abf2ab76d31be345690ce68f637967
1538,Tshirts,4f329d66409bb5233e48b34bd402a4e802b60659ad9bd931b6a2a6dfaa05cce5
1539,Tshirts,29a6ff471a4e4d02fc44e5db26618cca96da36b2046134a9c814a92e9619a155
1542,Sports Shoes,d527f5ba47a7ee47be06f94cbb8a0f2fa536171b71f0f8b3c6b11fa77518e5a1
1543,Casual Shoes,7de665c5cb0bf430128ec8535668a311e940983cb925f5c6a86f711ca4b8ae8a
1544,Casual Shoes,4ce08276aca4c7822a8e24e96a9ce27bf46bf882749fdea686a31cf0efd2e729
1545,Casual Shoes,96890573963017813dc00d2f613c79eddcf216dcd228d8d915ab3d2b9176e494
1546,Casual Shoes,2c672bef374c9384e8f34c2da0b6c30d75d56a3cf364311b7c07edd98d272af1
1548,Sports Shoes,d08768fc29418710b13cac35c0d2c56aa4b435a36c39db04e6595102a589083f
1549,Sports Shoes,4ff56ad02f7a1941c655dcd6c29f3acf137c154ca2d7512b78b6da7b790273ed
1550,Footballs,01c98b20c23ae41b0f6e588e9b01e3b26efcbe06729f3774a80870d3faeef354
1551,Footballs,866660e64e527eebb453cef406ad1b178688817749c7194a26669abeec5ef474
1554,Water Bottle,2507835b857b101b05daaccc75ca8868dc74eed10d589bc03db9bc8f21a33c48
1557,Backpacks,c2c424af887e493fe2b21cba8e92ca3524f2dd81383316fcc96f20d856f4e5c3
1559,Backpacks,205eac9afd1793a24ee03ac93dbef2bbc7148281df4b7d4c7dc5f4e455bc48c3
1561,Tshirts,09a732bf884e26917c94092110b6eb08282a7eb6237415f6a644884c5ae23cdd
1563,Tshirts,ad69123c03aadaafd9b66f17115a38bd3c0aea06b3d8bdaa0ddb558468ae2c80
1565,Backpacks,6b74fcc8690580a8dd8d6c7b30f0eee4d9a649edee263ad7a250c5533cf71cfb
1567,Shorts,e7fdbae14834ea86c931a9153f7974c38a2025a50d6032692f2f3e3b5cedc058
1569,Shorts,cccd7839c128a765c1411ced7ff54d76eb0257dad2d2279d01d771bef38a17db
1570,Tshirts,fb52eb64fc82857910056477d913fba9fa8511e02353c4e6ffbdf458d9634399
1573,Track Pants,4b88543d3dc32698a3d8c43fb004144f183d196f064fd6061c85baf7ea818467
1575,Tshirts,af495dda7ab17c223dd788c71bd56ae5bf7922d3311fdc1fd22b7cd8292b8c6b
1577,Caps,d958b2b68a9e92c2ef5c151440fd29cc34b95c226e92e80fb23a7f8f423ca38a
1578,Tshirts,38c78a685ddf62c70c4f25fd3701317b223853a3c6276a868ff72fbb08d1be91
1579,Jackets,5ce43e533971f4945ea4e61c0f8e257edee4d992d16dcd4550689f32aafd72bc
1582,Swimwear,930a683db73f6ec607ac70f61ef502bd39983735645fe0e9fb80022ccd239361
1583,Swimwear,0ace6e4dc9bdd62bfb72c7d5f331cca74b6510c191917a0255bf44dfeef0ef69
1587,Sports Shoes,d50122028d7514dccce3a5e5079c3845869ba7451b8dab6a7d4da9766eb11fbb
1588,Tshirts,2ac1c090f635859bc38c4b44849e2bad88317bcec6c7c3c0e462ef46ace13c54
1591,Shorts,c3825d075015f7ff19003a77a72b6d3a4c371e89bfa41a3a57c6cb6734c6cae8
1592,Sports Shoes,4a686f29a92e6448b92658f6389af47873231b33b98916384c8fefd3fa9382a0
1595,Tshirts,1ad6c973d994a8993104bdb5330585bdc5335563c76b590708ef0d2cf2612f61
