id,articleType,group_id
1163,Tshirts,00f9e2852e2727492ea7f7bb1cd751ba7c1b012dbd5d4de141d2b08b0bd73f89
1164,Tshirts,b2943e771e61145743485c9f2a5227479f01fcdd669aecc1d0ad6fe393efdca8
1529,Tshirts,380ab41c30b5ff5b3527d3c531c3acb55a99c7b1a999546bb3daa874f6f6100a
1532,Tshirts,c8d4e272dad87ffe2095906be10175b3fcc55687d63bbb59e2dea2d3df97a7dd
1536,Tshirts,d91c7e17c5fc501b2885a0aa4a936782c1d8875cfb79d6e7ec173da4fc1d9518
1540,Tshirts,53e770fec832e711944ac6b8df78d6e366373bd8299cd07dcdf13223c42bf9de
1553,Footballs,fb8c12e6a62a67f09455de76d5655d332499024469cc62d95436fadc1e85fa9a
1555,Water Bottle,cdc96baa58b977be55be87b4161fb20454430c52066a1a6aee0f6d57ea432f69
1572,Track Pants,488e59bd904cb75d5063eb5e7f0b36f5b618583b22d8d54a8b90c5d576e06cf2
1580,Swimwear,c7cde519705514089dc70d3ac545090569e3201f7f4693f11aa034772a9fce82
1584,Jackets,ce5ea8eb171d53ca8999d9b02fc26175132b3e6c847f3763c929b89824e2844a
1590,Sports Shoes,cdc7da44d5ccf3bef943e63248d28432d94c9aa958814a07f4f5b1d6e4db44ca
1594,Casual Shoes,f706913e11564f85fea46f8fbec73f968d0dca286a7dd2a096bbebeced8dc6b2
1599,Handbags,1fe02257505a932f8b1bee8c16af189c13005a36abd99722ebb150704f161a2f
1604,Track Pants,5682a34c29bc670df43a36e2a1345171ad7add08e04515f20433ec87b4e0ab29
1611,Jackets,413ff951584f895a81212357b8217ead931c17ba861292dec95a09d45813e711
1618,Sports Shoes,9b8b84ff84896e8807a362d5582f04e8476df1b6f93892b301461a2bfecee354
1634,Sports Shoes,f9cf97db18a781657a5ee9a8f23d633ac8bf2a7ecf28d96c312d11649646dbf7
1647,Backpacks,d563322a4050786384fe687865389bbed4bc7ec20e77091df9137d3bfdab7313
1654,Sports Shoes,41fbe1a0467888454e64bebc5940ce41ad543acbaf04def35d9b6ad360265a98
1729,Casual Shoes,103277af2a18c1570561d3f5dc10e799fd59a3b9487b7a20d8611b24a91717b7
1752,Tshirts,a20b30aeec09bc0b7b207c907fe1cf3130c0192e05a00bf0696556337a45e02c
1758,Jackets,2a6e919e1d236870af4610bb1d455723b1d2ee7924d9d6b5e3dec7f58f1681e3
1760,Tshirts,169e3aa3b565cbf546aac153ae4d1dcc2ee737de15a036244d046fedefd43072
1800,Backpacks,b78a02bab93b856cb1e241550fddaa81634870aa2b41f27ca772579b07dc8659
1802,Sports Shoes,47979c39eb11291f6456b33a1319fcfefeea9b634e6e4c6c302483b830de3991
1806,Sandals,bbf1fecb9ea4e6091a1149d0403a5046eb2f2b61e96f24e2176c1c67985b05df
1809,Tshirts,0dc715cae6009f3371d022a5d8e631fe864aeef24186083d9a82aed42695b7d4
1810,Tshirts,670c899005a63096d188676ac63c9dd5eb8616271f834e9cdb0eb964459b7e9a
1833,Sports Shoes,e539f637aab24c8c79d9495d2ae9e37df55fcbc0b0a29c986da2d3fe5861c1c2
1845,Tshirts,cfbd173bb7a2c6b284ead1ab087ac6ae68709213185f964fe30694324e159301
1847,Tshirts,54e567e62fdbe97518129bef94a606f8b0beb75f86ce4a20b97b310dfc3c8f4a
1861,Tshirts,a607aa5dccbaf3c5cf3e9444ba86f5e422059cb63bdac9403dcd42799448d0d1
1869,Tshirts,182e2a268cd316ee4810c555fea0ad70e8757764e663673338b76ad8bd82fd33
1871,Tshirts,9e546532cbfc4f8715af276ee5b3d54202b017e30195604fa7da7d01546ed15b
1875,Tshirts,cb3240671fefda10bb57daf2c4cdd5ba2681d7cb709369daf65ed16a3bd7aa2d
1879,Tshirts,a730f8a6f421ffb8365f765c3cc696f8e7740c13b60d76ebb37d38f3e25e48e8
1886,Tshirts,85eb25b4c9c19c7dfb29039acf77cca57c3a942edc743b32aeef31cd22a42c22
1912,Tshirts,604196286f81985daa39ae2045b5eb70599c11159f232ccb3262586ee164547c
1913,Tshirts,d9688d57c036e7fcc827931016bd04f74aef46e01f515eacfef069087c180309
1930,Backpacks,2a97019ce020fc6735a40f346f98373894d01b18a0c76268d034e94d461b9335
1932,Casual Shoes,e3a23859adb84719717867eadc9370622745e979cedd5a44e90edb2bdefe3a1b
1933,Backpacks,b997ad4359a86b6c2f81134baa7cf74b002e6de5fb86280b56681ad5c991af90
1937,Sports Shoes,f7d0ed54ad41b0616a40c96287dd20b3675584539682ba39cc9d18b36d0e1445
1942,Tshirts,df4c2131dc6af0deaf76a71247f6e88479ca154bbe7763695d25ab6c4877f65e
1950,Tshirts,4f7b48831b94f2a8076037b96168885c007b745134cc772306cf5f16f1faaf87
1963,Sports Shoes,7b8140529613f0e83b42533e0213f4f9af8fa9867d520a6a7c6772f416650922
1978,Tops,bff6d24107a910116f29fde6e9edab162ccdb162c5e25b8cdfcb66b189776ffe
1998,Tshirts,85cdeea1118d66f293dafa49de15ac857e8b4d5a872dc80c5dc10710e9e8c72e
2001,Tshirts,72633fd767c348cb0352477ee76c6c648b3e14dcd159284c646b68146e99ba18
2004,Tshirts,e51518f6e882d8f37072937647941961e46aea5a3c07ada089f0612bf859fd86
2011,Tshirts,940a84d7af029238fc65a8a90a9b9c00e47a8ef468831e71e3a6170f3c3574af
2031,Jackets,b3fef94d34ff0324c3ecfb6ed1483931855864fbe3a21509feb43b32d5365170
2032,Tshirts,190603fb1bfa24badb1e8a9c958263c22b6c6905336f9a24e23a9ea6ccd19fa2
2052,Tshirts,45dc0c9c21a227770982c7b292c28ff1fc8d406c71a194841c998351c924c7f3
2056,Tshirts,c121809d65591674fd9516b22997a4a34cf09bb009031d074fd67c1e985ac079
2058,Tshirts,1a199be182f1aa88efb77ed39e497f176e6f213d113c756b38e515131e690d35
2062,Tshirts,0d7ee2800a74234be91d75489e48cc04f6e2daf6554d0723cac61c0f5baf7d3b
2069,Tshirts,fbc2235e5bfa497f32bed7569a631e4d1668b46f6c95f68d9f4464a9c24099d3
2078,Tshirts,47535d6ab74f24817bd1e044cb21cf7cb9284b4d660576956df2e2df549b6de4
2091,Tshirts,99fe060125664e536b1c7d9f9a25c658caea42df53d920170ea924456d3ce16d
2094,Shirts,49cf9f2891ccf78b4186cb483f8fdf228979c5043202cbc3c5b9a00d4f3bb118
2096,Shirts,c5407893474a65b55c79b1a2d1883443f4d6f7581fe07e97c628d4537cdb7c08
2102,Shirts,d7bbe8989412222be0bfe2205c12b5b1d3a5ee2ed4bc9b8e7dd9475673e862c2
2103,Shirts,f1a5d17bd0ca3f0681e7ef02d8c11b0845ea7db4507053b413978acc414c2a09
2105,Track Pants,5853d291e65bd24748bcdc205a3471c5d97f04a65e72145083e1a3bc5ee19927
2108,Shorts,2d4d55a904e36e9dade3d46b3655a1191be0c14f8195598ccb8e39ab8f37846c
2113,Track Pants,ae1156deec7cbb8b423996d9e90fb227fe290c3307329dc9c142313a0b0da4cf
2114,Track Pants,85f94d507b8a4564f26500a10f825c96e0d2feca336cb5e7bc67eb3c6120eb27
2130,Shirts,a1e2de641fb6ba61af327dbfd0e694cc25d1c3e620a736930e47e31c7b637ce5
2133,Shirts,dfaf017b8fd3715f90768b2b885ce056ca39083901418dc6515ecad4eff39df6
2141,Tshirts,5b05ebe6bc64231cd26bf7a4ebf72337f42741807502a04e78d499254aa493c4
2142,Tshirts,22f5ddc8e4eee9ffd147fe7e6b22d131a16c1ab7e9b0bf34855619f851b88f92
2146,Tshirts,13b22b5e66d59028eccc54e95a4e9fc68fca364634d715c983391ea2350f74f0
2159,Tshirts,9fa3a105e346e7479b5dc5d3d4fb1deb643d960ccb72337e4934728b538cc6e4
2165,Shirts,a870f228988a83ec8ccd58c48a581a91318c8541df4921b67413dd207fd5529b
2168,Shirts,4cd8b1208287304f0777e2a764b79237c6455370a85220fb723d5cde0864f02b
2171,Tshirts,c1c9ba797687ea15ff47183ac450fa8320875227067f1b5bb555c103ccf61b2e
2182,Tshirts,54f7789ffb3125b7010412a48f3adae1da3a94ca3d8c07680fb848b43e1b8a3b
2183,Tshirts,d62a4361a31284ce81d408ed6146615f4d20dd62c6d513bcf05e095031deb492
2190,Track Pants,65a9ec65f6aec07ca52f3ebc0cd6404b90c3012737bbd0a507f6bce594fcae86
2194,Tshirts,6b45169ef3cfdb99ebb4264558a4384d79335dcc987659be5daaa358c4b8200e
2195,Capris,727779faeaace0db67c126dd9996f109d80423a54680c697522fd380f4dda3d9
2203,Tshirts,708e72ff940d12988e7579c4b55e77173c0ec198793cfe7a63172a4a5b41e6f8
2206,Tshirts,8d5e8911d9676cfda74d7642b92cca58cf61f344f67cc415af39edea7a14b1ca
2210,Tshirts,f10558d7bfd513155dcb74dc0b3078d00b0920ad3711a48b5cba66e3bbb69f44
2214,Socks,30322fb3991692aba5935af5d2c62688641c4ffb013f684e5ed1515149cec21b
2231,Sandals,4514f02a2f302eacb3299c59c5731db175f87c5d6f4f91614e5ca6d66a456c53
2244,Tshirts,ac8543e2739533d86aef577fc9e99f6b2ea2b2259d1b6e7b0170ccb4d673da4d
2246,Backpacks,23d46d305f992c2e8e409df39daf5b9658925e950369f83e061b8c98ac638445
2254,Tshirts,ad360ba6dd20b929bc40cce2ab75f58c7037928a37e7a0ebadbfb1ec300837a6
2255,Track Pants,ada2040b7f46c2e61065b818146d0ad23d103340ae12de7555d07249a8136a76
2261,Backpacks,4035ce2a6420a5ddcfafc7203cf6c38d3a8848cadb7bb1b5d221f68bf8d5359e
2264,Backpacks,621d1fc0f1a6b49437453319cd77136c7425a73eaebe15e57798e21a6cd87282
2266,Tshirts,3c31409d2eb479203b05ae43c50392c3783a5d9e9b226586424b18fba8a6b9b5
2267,Tshirts,c85e3cf845d0f554def73150e36bba70350a462e18cb8e86bfdba9e281f5af7d
2268,Sweatshirts,aebf9b66c45f0dc9efab881c90e2bfb51af68e7964de51816d23dd24afe98686
2271,Tshirts,e38b6bb19481f8a8add9614eaf6743e5904a3b2d39b532c97bc55ff924873716
2272,Tshirts,b55f29651f6114f37fea641b93ed4b26c43b0b2b10e47ec936d677f6204b79c7
2280,Tshirts,1b23e7ae1a2cc06db4d0475ea531a32cf29cdf0d78721e48b08d20308eb59797
2284,Tshirts,8e06a604c913bc514810fde8a3d65844acfe677237b95ab67e74e0bec82c84dd
2285,Tshirts,d816ddf9df125aabe88796500066357923bc96af33c221f0a80c6cb7efc4cec9
2302,Tshirts,5f47cbcede7fff2c99507a09222073a9280c63fa35497542a43293092bbaecd6
2309,Tshirts,54503a4ee8b70ac1b4acee6925f8d08cff4213f21bd73b00b5ee10c7048bc2c4
2324,Tshirts,b7cb4fbe2b7c958b1370b1cfd7d7f1be7b7048d22f1e8c52279060e8318684c2
2325,Tshirts,70bac5e688333dcbcfdcd08de768158b071bb067ee9fd5e1a70bfdc387631ec3
2327,Tshirts,8b2189a3a5b68e0d450db4851ccc715aa6f581d9796fc4870982408667fbaa8d
2332,Tshirts,bc5aa0bda182aaeefbf36668a82e1d5a9a8100792c5fe9af3fc72c09c7c26e91
2334,Tshirts,32f7e70346b3a2cd5fdf91a21dd56d7f7c4a404a776a837e97d908181484c9cc
2335,Tshirts,8ebd6a65c015fdcaa282f55519d0b53d67bf2bfc33aa57ea2d5b004361b2834f
2350,Tshirts,e77a10c93da2bd9b1b79bfbd4c6c1ad1f3a86a8d065a11ce118e28b43e08ab45
2361,Caps,9ea132e0c9b20d266a9482813b64332a85a137b092aa4368a1c78017bd195e66
2382,Formal Shoes,76bc7f6419aeb8d66cf843740f63e1d9155ac48a94362ff8cada11a5edcaee37
2383,Casual Shoes,c6016f4a5adc30a445183f85cf4b1154d608d88e6bed5746efb635b52ad1b1bd
2390,Casual Shoes,9ff2cc0d4e4cd2c695d822e4d7cc9b0b3289050763b6993ffd9fcda1cce88f23
2393,Casual Shoes,fecae269110b980e75ebed31e09c8494bd24bfee4508201043b7d405b522785b
2394,Casual Shoes,341b72a895869816a51d127e155fd66e1dbe02bdd07183afd865ca9c9c93bdbe
2399,Casual Shoes,2982acf6dfa97300722a9abe7440a1707567cb3d0088fe40b76f923b1a9fbf9d
2493,Tshirts,cf6a77b8e0b6e26956a358cf0cac34e5fdaf910decbe8cdf3253d70077a9a2de
2501,Casual Shoes,f00ab2e5159ac90269738e5aba2fad819df4008f740b8d2b8d68f0c66366a85e
2503,Casual Shoes,670bc5f97251f7c29ceba26a683be73f742876d69d960550000b7b942bc6fdfe
2510,Casual Shoes,09cb951cf51ef6314bc295c701d52eadf4d43c21120d1bc030665aa79ec965fa
2541,Casual Shoes,4028c0862842b0d18b8216c31d6323c853c06a87fbb05f90e4a0543441062807
2543,Flip Flops,1f030a514389ff3b5c2f8690d472d74886beac425ba9603419df24ec3b09049d
2556,Tshirts,636722f8b30362dfb01087fbc2a6ed048c2b8951cbe5941994b9a313eacba9c9
2577,Tops,c3120c9138dfa21a261aff3fe927253be23aff1f4a33b75c165785397a223be5
2606,Tshirts,1e33c21d82307bb06f892a5f284f16488af88a3a24f15ae6ba14a1748d3e2dfc
2611,Heels,4d5c94a22804eca593ae9c61206fc44b9c2b5749cf1ff96a61cb5f04c8eb71a7
2615,Tshirts,c40a4036fda9bd8d781dd58b6e4f2d68bf311e05d4b5f313fb4910c248b81c42
2631,Flats,e715636ee55c0321a9b5361f4400422922f4490a8b9775d99fe10c860c850bc5
2641,Casual Shoes,77f9f511cd0968cd2e34e1e5faa6afd07970b1a839a46a3691b2927783c9d3e1
2651,Handbags,86b6bc0ca954ca9f197884a48a8950c870937545c39c85ee055497f6faf196c6
2663,Handbags,f599b565dac7f1a16f05b107bd70f971f47c5cbc4912797a24103663457f7896
2679,Tshirts,b4b8bd006ba43070bebb0562c9979570e332bc4bd467ed96994db4e6809c5bbc
2681,Tshirts,afebeaf275eda415810602274c4315868f689f1722b74d01870b8e2fe1073d4f
2695,Tshirts,96cffa05f26031f364550df19ebe69774dd757fbb4b13fb8757ceddd00d3d27b
2701,Tops,799a982bb0768b3e8f249b29eeb782358a91fadec53be7e14f8a3873919a1d30
2704,Dresses,20765cee9219b20c5ce0342365212116ec0d90831f4dc213785f28e016211533
2710,Dresses,e33025347770cb94d3eaeaa56eae38f0fe30110ca061c949f03e7cc65eee477c
2715,Tops,506cbe3da586720222ebd41a6c99074338bd8e1ff5af3b5c3f6d9e935a882c76
2716,Tops,57364181334c366874a0810a28a25150e85d4e623a974cdb52ace0c950dadaa1
2722,Shorts,ed126405ccbfdcfcf5a0d19c10bce4a25d2e0ab73b9217ed27f2d14c1b8ac212
2748,Tshirts,86c35ebad2e70ed0fb364d33dfd2521c33a007006df35e613be6c6c05dbf89dc
2751,Tshirts,3e8a46c61fec187e27287d63031d3a944f442dbd4804de5fa7c319bd8e12c7b3
2753,Tshirts,ac99f1937c7b1e1f670228179808cac7d2cae3521c1cf89aec197c73a468f856
2778,Tshirts,91433bace6a9b92a8ee1b294356bba33ecb73494a3bc616b1cbfb512b2ef66f5
2800,Casual Shoes,4d639f898f2a9b47f47c00adb72983419e80e3b4cf0f54337f6cda4dab321e84
2802,Sandals,2261982b77ceb05ffa967b749d1e4e72d7412fb957496a798ec8844006952441
2823,Formal Shoes,16a95a24784327852d8b5df949f0cfd0e4433bc2942555f6320367b94b61e76d
