id,split,position,data_source
1163,train,0,original_fashion_dataset
1164,train,1,original_fashion_dataset
1525,train,2,original_fashion_dataset
1528,train,3,original_fashion_dataset
1529,train,4,original_fashion_dataset
1530,train,5,original_fashion_dataset
1531,train,6,original_fashion_dataset
1532,train,7,original_fashion_dataset
1533,train,8,original_fashion_dataset
1536,train,9,original_fashion_dataset
1537,train,10,original_fashion_dataset
1538,train,11,original_fashion_dataset
1539,train,12,original_fashion_dataset
1540,train,13,original_fashion_dataset
1545,train,14,original_fashion_dataset
1547,train,15,original_fashion_dataset
1548,train,16,original_fashion_dataset
1549,train,17,original_fashion_dataset
1550,train,18,original_fashion_dataset
1551,train,19,original_fashion_dataset
1553,train,20,original_fashion_dataset
1554,train,21,original_fashion_dataset
1555,train,22,original_fashion_dataset
1556,train,23,original_fashion_dataset
1557,train,24,original_fashion_dataset
1558,train,25,original_fashion_dataset
1561,train,26,original_fashion_dataset
1562,train,27,original_fashion_dataset
1563,train,28,original_fashion_dataset
1565,train,29,original_fashion_dataset
1566,train,30,original_fashion_dataset
1569,train,31,original_fashion_dataset
1570,train,32,original_fashion_dataset
1571,train,33,original_fashion_dataset
1572,train,34,original_fashion_dataset
1575,train,35,original_fashion_dataset
1577,train,36,original_fashion_dataset
1578,train,37,original_fashion_dataset
1579,train,38,original_fashion_dataset
1580,train,39,original_fashion_dataset
1582,train,40,original_fashion_dataset
1583,train,41,original_fashion_dataset
1584,train,42,original_fashion_dataset
1587,train,43,original_fashion_dataset
1591,train,44,original_fashion_dataset
1592,train,45,original_fashion_dataset
1594,train,46,original_fashion_dataset
1595,train,47,original_fashion_dataset
1596,train,48,original_fashion_dataset
1597,train,49,original_fashion_dataset
1598,train,50,original_fashion_dataset
1599,train,51,original_fashion_dataset
1603,train,52,original_fashion_dataset
1604,train,53,original_fashion_dataset
1605,train,54,original_fashion_dataset
1607,train,55,original_fashion_dataset
1608,train,56,original_fashion_dataset
1609,train,57,original_fashion_dataset
1611,train,58,original_fashion_dataset
1613,train,59,original_fashion_dataset
1616,train,60,original_fashion_dataset
1617,train,61,original_fashion_dataset
1618,train,62,original_fashion_dataset
1619,train,63,original_fashion_dataset
1620,train,64,original_fashion_dataset
1623,train,65,original_fashion_dataset
1624,train,66,original_fashion_dataset
1625,train,67,original_fashion_dataset
1626,train,68,original_fashion_dataset
1628,train,69,original_fashion_dataset
1635,train,70,original_fashion_dataset
1636,train,71,original_fashion_dataset
1638,train,72,original_fashion_dataset
1641,train,73,original_fashion_dataset
1642,train,74,original_fashion_dataset
1644,train,75,original_fashion_dataset
1646,train,76,original_fashion_dataset
1648,train,77,original_fashion_dataset
1649,train,78,original_fashion_dataset
1653,train,79,original_fashion_dataset
1654,train,80,original_fashion_dataset
1657,train,81,original_fashion_dataset
1658,train,82,original_fashion_dataset
1662,train,83,original_fashion_dataset
1673,train,84,original_fashion_dataset
1678,train,85,original_fashion_dataset
1697,train,86,original_fashion_dataset
1727,train,87,original_fashion_dataset
1728,train,88,original_fashion_dataset
1729,train,89,original_fashion_dataset
1730,train,90,original_fashion_dataset
1731,train,91,original_fashion_dataset
1752,train,92,original_fashion_dataset
1754,train,93,original_fashion_dataset
1757,train,94,original_fashion_dataset
1758,train,95,original_fashion_dataset
1759,train,96,original_fashion_dataset
1760,train,97,original_fashion_dataset
1762,train,98,original_fashion_dataset
1763,train,99,original_fashion_dataset
1764,train,100,original_fashion_dataset
